bulan,provinsi,komoditas,rata_rata_harga
2025-01,Kalimantan Barat,Daging Ayam,38333.333333333336
2025-01,Kalimantan Barat,Daging Sapi,150404.16666666666
2025-01,Kalimantan Barat,Gula Pasir,18300.0
2025-01,Kalimantan Barat,Minyak Goreng,20364.583333333332
2025-01,Kalimantan Barat,Telur Ayam,32550.0
2025-01,Kalimantan Selatan,Bawang Merah,36564.81481481482
2025-01,Kalimantan Selatan,Bawang Putih,40624.07407407407
2025-01,Kalimantan Selatan,Beras,17318.51851851852
2025-01,Kalimantan Selatan,Cabai Merah,63392.59259259259
2025-01,Kalimantan Selatan,Cabai Rawit,57850.0
2025-01,Kalimantan Selatan,Daging Ayam,44912.96296296296
2025-01,Kalimantan Selatan,Daging Sapi,163950.0
2025-01,Kalimantan Selatan,Gula Pasir,18605.555555555555
2025-01,Kalimantan Selatan,Minyak Goreng,19940.74074074074
2025-01,Kalimantan Selatan,Telur Ayam,31162.962962962964
2025-01,Kalimantan Tengah,Bawang Merah,41242.59259259259
2025-01,Kalimantan Tengah,Bawang Putih,42631.48148148148
2025-01,Kalimantan Tengah,Beras,17614.814814814814
2025-01,Kalimantan Tengah,Cabai Merah,96640.74074074074
2025-01,Kalimantan Tengah,Cabai Rawit,75983.33333333333
2025-01,Kalimantan Tengah,Daging Ayam,42029.62962962963
2025-01,Kalimantan Tengah,Daging Sapi,155350.0
2025-01,Kalimantan Tengah,Gula Pasir,20142.59259259259
2025-01,Kalimantan Tengah,Minyak Goreng,20477.777777777777
2025-01,Kalimantan Tengah,Telur Ayam,32059.25925925926
2025-01,Kalimantan Timur,Bawang Merah,42750.0
2025-01,Kalimantan Timur,Bawang Putih,45381.48148148148
2025-01,Kalimantan Timur,Beras,15950.0
2025-01,Kalimantan Timur,Cabai Merah,55412.96296296296
2025-01,Kalimantan Timur,Cabai Rawit,70451.85185185185
2025-01,Kalimantan Timur,Daging Ayam,40214.81481481482
2025-01,Kalimantan Timur,Daging Sapi,155411.11111111112
2025-01,Kalimantan Timur,Gula Pasir,18575.925925925927
2025-01,Kalimantan Timur,Minyak Goreng,20948.14814814815
2025-01,Kalimantan Timur,Telur Ayam,31040.74074074074
2025-01,Kalimantan Utara,Bawang Merah,46351.92307692308
2025-01,Kalimantan Utara,Bawang Putih,46655.769230769234
2025-01,Kalimantan Utara,Beras,16563.46153846154
2025-01,Kalimantan Utara,Cabai Merah,72211.53846153847
2025-01,Kalimantan Utara,Cabai Rawit,111300.0
2025-01,Kalimantan Utara,Daging Ayam,48107.692307692305
2025-01,Kalimantan Utara,Daging Sapi,127219.23076923077
2025-01,Kalimantan Utara,Gula Pasir,18805.76923076923
2025-01,Kalimantan Utara,Minyak Goreng,21032.69230769231
2025-01,Kalimantan Utara,Telur Ayam,32911.53846153846
2025-01,Kepulauan Bangka Belitung,Bawang Merah,44050.0
2025-01,Kepulauan Bangka Belitung,Bawang Putih,42048.07692307692
2025-01,Kepulauan Bangka Belitung,Beras,15019.23076923077
2025-01,Kepulauan Bangka Belitung,Cabai Merah,76396.15384615384
2025-01,Kepulauan Bangka Belitung,Cabai Rawit,81134.61538461539
2025-01,Kepulauan Bangka Belitung,Daging Ayam,40217.307692307695
2025-01,Kepulauan Bangka Belitung,Daging Sapi,134948.07692307694
2025-01,Kepulauan Bangka Belitung,Gula Pasir,18001.923076923078
2025-01,Kepulauan Bangka Belitung,Minyak Goreng,18565.384615384617
2025-01,Kepulauan Bangka Belitung,Telur Ayam,33378.846153846156
2025-01,Kepulauan Riau,Bawang Merah,39214.81481481482
2025-01,Kepulauan Riau,Bawang Putih,36109.25925925926
2025-01,Kepulauan Riau,Beras,15209.25925925926
2025-01,Kepulauan Riau,Cabai Merah,77255.55555555556
2025-01,Kepulauan Riau,Cabai Rawit,88307.4074074074
2025-01,Kepulauan Riau,Daging Ayam,39964.81481481482
2025-01,Kepulauan Riau,Daging Sapi,99200.0
2025-01,Kepulauan Riau,Gula Pasir,15981.481481481482
2025-01,Kepulauan Riau,Minyak Goreng,18961.11111111111
2025-01,Kepulauan Riau,Telur Ayam,30731.48148148148
2025-01,Lampung,Bawang Merah,33355.555555555555
2025-01,Lampung,Bawang Putih,41437.03703703704
2025-01,Lampung,Beras,14533.333333333334
2025-01,Lampung,Cabai Merah,63809.25925925926
