tanggal,commodity_id,komoditas,provinsi,id_provinsi,harga,show,avg_api,stddev_api,bulan
2024-01-01,3,Daging Sapi,Bali,17,120650.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Nusa Tenggara Barat,18,117650.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Kalimantan Selatan,21,159400.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Kalimantan Tengah,22,154100.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Kalimantan Timur,23,155350.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Gorontalo,25,132500.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sulawesi Selatan,26,123000.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sulawesi Tenggara,27,138150.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sulawesi Utara,29,135000.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sulawesi Barat,30,121650.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Maluku,31,133750.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Papua Barat,34,147500.0,True,134600.0,64000.0,2024-01
2024-01-01,4,Telur Ayam,Aceh,1,28350.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sumatera Utara,2,28850.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sumatera Barat,3,26600.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kepulauan Riau,5,27600.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Jambi,6,25700.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kepulauan Bangka Belitung,9,31800.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Banten,11,26500.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Jawa Barat,12,27050.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Jawa Tengah,14,26350.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,DI Yogyakarta,15,27000.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Jawa Timur,16,25800.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Bali,17,26100.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Nusa Tenggara Barat,18,29550.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kalimantan Selatan,21,31100.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kalimantan Tengah,22,31200.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kalimantan Timur,23,28700.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Gorontalo,25,34300.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sulawesi Selatan,26,23950.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sulawesi Tenggara,27,29650.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sulawesi Utara,29,30200.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sulawesi Barat,30,23750.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Maluku,31,34950.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Papua Barat,34,38700.0,True,28850.0,13800.0,2024-01
2024-01-01,5,Bawang Merah,Aceh,1,40400.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Sumatera Utara,2,36700.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Sumatera Barat,3,37000.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Kepulauan Riau,5,41950.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Jambi,6,38000.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Kepulauan Bangka Belitung,9,41750.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Banten,11,44350.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Jawa Barat,12,39900.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Jawa Tengah,14,37400.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,DI Yogyakarta,15,39750.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Jawa Timur,16,33700.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Bali,17,35000.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Nusa Tenggara Barat,18,32250.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Kalimantan Selatan,21,36500.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Kalimantan Tengah,22,38750.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Kalimantan Timur,23,43400.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Gorontalo,25,47350.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Sulawesi Selatan,26,39400.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Sulawesi Tenggara,27,40650.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Sulawesi Utara,29,46150.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Sulawesi Barat,30,35150.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Maluku,31,38750.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Papua Barat,34,56250.0,True,40000.0,19200.0,2024-01
2024-01-01,6,Bawang Putih,Aceh,1,38400.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Sumatera Utara,2,37250.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Sumatera Barat,3,37250.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Kepulauan Riau,5,35100.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Jambi,6,39000.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Kepulauan Bangka Belitung,9,39750.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Banten,11,39750.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Jawa Barat,12,40150.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Jawa Tengah,14,39300.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,DI Yogyakarta,15,43500.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Jawa Timur,16,34400.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Bali,17,35000.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Nusa Tenggara Barat,18,37650.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Kalimantan Selatan,21,38250.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Kalimantan Tengah,22,38250.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Kalimantan Timur,23,40750.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Gorontalo,25,43350.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Sulawesi Selatan,26,38450.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Sulawesi Tenggara,27,44400.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Sulawesi Utara,29,44150.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Sulawesi Barat,30,38100.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Maluku,31,43150.0,True,40050.0,19100.0,2024-01
2024-01-01,6,Bawang Putih,Papua Barat,34,56250.0,True,40050.0,19100.0,2024-01
2024-01-01,7,Cabai Merah,Aceh,1,34250.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Sumatera Utara,2,46400.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Sumatera Barat,3,70000.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Kepulauan Riau,5,60750.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Jambi,6,39950.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Kepulauan Bangka Belitung,9,81250.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Banten,11,62950.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Jawa Barat,12,70800.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Jawa Tengah,14,56400.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,DI Yogyakarta,15,68750.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Jawa Timur,16,55250.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Bali,17,55000.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Nusa Tenggara Barat,18,54050.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Kalimantan Selatan,21,45650.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Kalimantan Tengah,22,79100.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Kalimantan Timur,23,70050.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Gorontalo,25,70000.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Sulawesi Selatan,26,45100.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Sulawesi Tenggara,27,67200.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Sulawesi Utara,29,73750.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Sulawesi Barat,30,46450.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Maluku,31,88150.0,True,61450.0,30950.0,2024-01
2024-01-01,7,Cabai Merah,Papua Barat,34,72500.0,True,61450.0,30950.0,2024-01
2024-01-01,8,Cabai Rawit,Aceh,1,52100.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Sumatera Utara,2,57250.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Sumatera Barat,3,43250.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Kepulauan Riau,5,50200.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Jambi,6,52600.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Kepulauan Bangka Belitung,9,74100.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Banten,11,61300.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Jawa Barat,12,61800.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Jawa Tengah,14,56800.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,DI Yogyakarta,15,62500.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Jawa Timur,16,52550.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Bali,17,56250.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Nusa Tenggara Barat,18,52550.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Kalimantan Selatan,21,55250.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Kalimantan Tengah,22,68150.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Kalimantan Timur,23,77550.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Gorontalo,25,108350.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Sulawesi Selatan,26,69650.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Sulawesi Tenggara,27,133450.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Sulawesi Utara,29,93750.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Sulawesi Barat,30,62150.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Maluku,31,128150.0,True,71750.0,39700.0,2024-01
2024-01-01,8,Cabai Rawit,Papua Barat,34,120000.0,True,71750.0,39700.0,2024-01
2024-01-01,9,Minyak Goreng,Aceh,1,18200.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Sumatera Utara,2,18500.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Sumatera Barat,3,17700.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Kepulauan Riau,5,16150.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Jambi,6,17550.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Kepulauan Bangka Belitung,9,16800.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Banten,11,17300.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Jawa Barat,12,17900.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Jawa Tengah,14,17150.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,DI Yogyakarta,15,17000.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Jawa Timur,16,17600.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Bali,17,19700.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Nusa Tenggara Barat,18,18650.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Kalimantan Selatan,21,19500.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Kalimantan Tengah,22,19750.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Kalimantan Timur,23,18700.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Gorontalo,25,23300.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Sulawesi Selatan,26,17650.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Sulawesi Tenggara,27,20650.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Sulawesi Utara,29,16300.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Sulawesi Barat,30,19500.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Maluku,31,20950.0,True,18700.0,8900.0,2024-01
2024-01-01,9,Minyak Goreng,Papua Barat,34,23600.0,True,18700.0,8900.0,2024-01
2024-01-01,10,Gula Pasir,Aceh,1,17900.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Sumatera Utara,2,17100.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Sumatera Barat,3,17200.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Kepulauan Riau,5,17600.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Jambi,6,16850.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Kepulauan Bangka Belitung,9,17100.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Banten,11,17750.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Jawa Barat,12,17450.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,Jawa Tengah,14,17400.0,True,17700.0,8300.0,2024-01
2024-01-01,10,Gula Pasir,DI Yogyakarta,15,16950.0,True,17700.0,8300.0,2024-01
