bulan,provinsi,komoditas,rata_rata_harga
2024-01,Aceh,Bawang Merah,41088.709677419356
2024-01,Aceh,Bawang Putih,38288.709677419356
2024-01,Aceh,Beras,13796.774193548386
2024-01,Aceh,Cabai Merah,34000.0
2024-01,Aceh,Cabai Rawit,48022.58064516129
2024-01,Aceh,Daging Ayam,30135.483870967742
2024-01,Aceh,Daging Sapi,145850.0
2024-01,Aceh,Gula Pasir,18054.83870967742
2024-01,Aceh,Minyak Goreng,18450.0
2024-01,Aceh,Telur Ayam,27761.290322580644
2024-01,Bali,Bawang Merah,34479.032258064515
2024-01,Bali,Bawang Putih,34648.3870967742
2024-01,Bali,Beras,14525.806451612903
2024-01,Bali,Cabai Merah,58450.0
2024-01,Bali,Cabai Rawit,39316.12903225807
2024-01,Bali,Daging Ayam,36196.77419354839
2024-01,Bali,Daging Sapi,126243.54838709677
2024-01,Bali,Gula Pasir,17714.516129032258
2024-01,Bali,Minyak Goreng,18237.09677419355
2024-01,Bali,Telur Ayam,26477.41935483871
2024-01,Banten,Bawang Merah,34670.967741935485
2024-01,Banten,Bawang Putih,40545.16129032258
2024-01,Banten,Beras,14730.645161290322
2024-01,Banten,Cabai Merah,70111.29032258065
2024-01,Banten,Cabai Rawit,49764.51612903226
2024-01,Banten,Daging Ayam,36738.709677419356
2024-01,Banten,Daging Sapi,132500.0
2024-01,Banten,Gula Pasir,17750.0
2024-01,Banten,Minyak Goreng,17403.225806451614
2024-01,Banten,Telur Ayam,26474.1935483871
2024-01,Bengkulu,Bawang Merah,37508.333333333336
2024-01,Bengkulu,Bawang Putih,39363.333333333336
2024-01,Bengkulu,Beras,14948.333333333334
2024-01,Bengkulu,Cabai Merah,46755.0
2024-01,Bengkulu,Cabai Rawit,34026.666666666664
2024-01,Bengkulu,Daging Ayam,32901.666666666664
2024-01,Bengkulu,Daging Sapi,135650.0
2024-01,Bengkulu,Gula Pasir,17640.0
2024-01,Bengkulu,Minyak Goreng,17085.0
2024-01,Bengkulu,Telur Ayam,26886.666666666668
2024-01,DI Yogyakarta,Bawang Merah,37185.48387096774
