tanggal,provinsi,id_provinsi,harga,show,avg_api,stddev_api,bulan
2025-01-03,Nusa Tenggara Barat,18,13750.0,True,15200.0,1150.0,2025-01
2025-01-03,Nusa Tenggara Timur,19,15450.0,True,15200.0,1150.0,2025-01
2025-01-03,Kalimantan Barat,20,16500.0,True,15200.0,1150.0,2025-01
2025-01-03,Kalimantan Selatan,21,17350.0,True,15200.0,1150.0,2025-01
2025-01-03,Kalimantan Tengah,22,17600.0,True,15200.0,1150.0,2025-01
2025-01-03,Kalimantan Timur,23,15950.0,True,15200.0,1150.0,2025-01
2025-01-03,Kalimantan Utara,24,16650.0,True,15200.0,1150.0,2025-01
2025-01-03,Gorontalo,25,14550.0,True,15200.0,1150.0,2025-01
2025-01-03,Sulawesi Selatan,26,13400.0,True,15200.0,1150.0,2025-01
2025-01-03,Sulawesi Tenggara,27,14700.0,True,15200.0,1150.0,2025-01
2025-01-03,Sulawesi Tengah,28,14800.0,True,15200.0,1150.0,2025-01
2025-01-03,Sulawesi Utara,29,14000.0,True,15200.0,1150.0,2025-01
2025-01-03,Sulawesi Barat,30,13250.0,True,15200.0,1150.0,2025-01
2025-01-03,Maluku,31,16100.0,True,15200.0,1150.0,2025-01
2025-01-03,Maluku Utara,32,16700.0,True,15200.0,1150.0,2025-01
2025-01-03,Papua,33,16750.0,True,15200.0,1150.0,2025-01
2025-01-03,Papua Barat,34,16400.0,True,15200.0,1150.0,2025-01
2025-01-04,Aceh,1,13750.0,True,15200.0,1150.0,2025-01
2025-01-04,Sumatera Utara,2,13700.0,True,15200.0,1150.0,2025-01
2025-01-04,Sumatera Barat,3,17250.0,True,15200.0,1150.0,2025-01
2025-01-04,Riau,4,15900.0,True,15200.0,1150.0,2025-01
2025-01-04,Kepulauan Riau,5,15150.0,True,15200.0,1150.0,2025-01
2025-01-04,Jambi,6,15050.0,True,15200.0,1150.0,2025-01
2025-01-04,Bengkulu,7,15150.0,True,15200.0,1150.0,2025-01
2025-01-04,Sumatera Selatan,8,14900.0,True,15200.0,1150.0,2025-01
2025-01-04,Kepulauan Bangka Belitung,9,15000.0,True,15200.0,1150.0,2025-01
2025-01-04,Lampung,10,14550.0,True,15200.0,1150.0,2025-01
2025-01-04,Banten,11,14800.0,True,15200.0,1150.0,2025-01
2025-01-04,Jawa Barat,12,14600.0,True,15200.0,1150.0,2025-01
2025-01-04,DKI Jakarta,13,15500.0,True,15200.0,1150.0,2025-01
2025-01-04,Jawa Tengah,14,14550.0,True,15200.0,1150.0,2025-01
2025-01-04,DI Yogyakarta,15,14150.0,True,15200.0,1150.0,2025-01
2025-01-04,Jawa Timur,16,14100.0,True,15200.0,1150.0,2025-01
2025-01-04,Bali,17,15000.0,True,15200.0,1150.0,2025-01
2025-01-04,Nusa Tenggara Barat,18,13750.0,True,15200.0,1150.0,2025-01
2025-01-04,Nusa Tenggara Timur,19,15450.0,True,15200.0,1150.0,2025-01
2025-01-04,Kalimantan Barat,20,16500.0,True,15200.0,1150.0,2025-01
2025-01-04,Kalimantan Selatan,21,17350.0,True,15200.0,1150.0,2025-01
2025-01-04,Kalimantan Tengah,22,17600.0,True,15200.0,1150.0,2025-01
2025-01-04,Kalimantan Timur,23,15950.0,True,15200.0,1150.0,2025-01
2025-01-04,Kalimantan Utara,24,16650.0,True,15200.0,1150.0,2025-01
2025-01-04,Gorontalo,25,14550.0,True,15200.0,1150.0,2025-01
2025-01-04,Sulawesi Selatan,26,13400.0,True,15200.0,1150.0,2025-01
2025-01-04,Sulawesi Tenggara,27,14700.0,True,15200.0,1150.0,2025-01
2025-01-04,Sulawesi Tengah,28,14800.0,True,15200.0,1150.0,2025-01
2025-01-04,Sulawesi Utara,29,14000.0,True,15200.0,1150.0,2025-01
2025-01-04,Sulawesi Barat,30,13250.0,True,15200.0,1150.0,2025-01
2025-01-04,Maluku,31,16100.0,True,15200.0,1150.0,2025-01
2025-01-04,Maluku Utara,32,16700.0,True,15200.0,1150.0,2025-01
2025-01-04,Papua,33,16750.0,True,15200.0,1150.0,2025-01
2025-01-04,Papua Barat,34,16400.0,True,15200.0,1150.0,2025-01
2025-01-05,Aceh,1,13750.0,True,15200.0,1150.0,2025-01
2025-01-05,Sumatera Utara,2,13700.0,True,15200.0,1150.0,2025-01
2025-01-05,Sumatera Barat,3,17250.0,True,15200.0,1150.0,2025-01
2025-01-05,Riau,4,15900.0,True,15200.0,1150.0,2025-01
2025-01-05,Kepulauan Riau,5,15150.0,True,15200.0,1150.0,2025-01
2025-01-05,Jambi,6,15050.0,True,15200.0,1150.0,2025-01
2025-01-05,Bengkulu,7,15150.0,True,15200.0,1150.0,2025-01
2025-01-05,Sumatera Selatan,8,14900.0,True,15200.0,1150.0,2025-01
2025-01-05,Kepulauan Bangka Belitung,9,15000.0,True,15200.0,1150.0,2025-01
2025-01-05,Lampung,10,14550.0,True,15200.0,1150.0,2025-01
2025-01-05,Banten,11,14800.0,True,15200.0,1150.0,2025-01
2025-01-05,Jawa Barat,12,14600.0,True,15200.0,1150.0,2025-01
2025-01-05,DKI Jakarta,13,15500.0,True,15200.0,1150.0,2025-01
2025-01-05,Jawa Tengah,14,14550.0,True,15200.0,1150.0,2025-01
2025-01-05,DI Yogyakarta,15,14150.0,True,15200.0,1150.0,2025-01
2025-01-05,Jawa Timur,16,14100.0,True,15200.0,1150.0,2025-01
2025-01-05,Bali,17,15000.0,True,15200.0,1150.0,2025-01
2025-01-05,Nusa Tenggara Barat,18,13750.0,True,15200.0,1150.0,2025-01
2025-01-05,Nusa Tenggara Timur,19,15450.0,True,15200.0,1150.0,2025-01
2025-01-05,Kalimantan Barat,20,16500.0,True,15200.0,1150.0,2025-01
2025-01-05,Kalimantan Selatan,21,17350.0,True,15200.0,1150.0,2025-01
2025-01-05,Kalimantan Tengah,22,17600.0,True,15200.0,1150.0,2025-01
2025-01-05,Kalimantan Timur,23,15950.0,True,15200.0,1150.0,2025-01
2025-01-05,Kalimantan Utara,24,16650.0,True,15200.0,1150.0,2025-01
2025-01-05,Gorontalo,25,14550.0,True,15200.0,1150.0,2025-01
2025-01-05,Sulawesi Selatan,26,13400.0,True,15200.0,1150.0,2025-01
2025-01-05,Sulawesi Tenggara,27,14700.0,True,15200.0,1150.0,2025-01
2025-01-05,Sulawesi Tengah,28,14800.0,True,15200.0,1150.0,2025-01
2025-01-05,Sulawesi Utara,29,14000.0,True,15200.0,1150.0,2025-01
2025-01-05,Sulawesi Barat,30,13250.0,True,15200.0,1150.0,2025-01
2025-01-05,Maluku,31,16100.0,True,15200.0,1150.0,2025-01
2025-01-05,Maluku Utara,32,16700.0,True,15200.0,1150.0,2025-01
2025-01-05,Papua,33,16750.0,True,15200.0,1150.0,2025-01
2025-01-05,Papua Barat,34,16400.0,True,15200.0,1150.0,2025-01
2025-01-06,Aceh,1,13750.0,True,15150.0,1100.0,2025-01
2025-01-06,Sumatera Utara,2,13750.0,True,15150.0,1100.0,2025-01
2025-01-06,Sumatera Barat,3,17250.0,True,15150.0,1100.0,2025-01
2025-01-06,Riau,4,15900.0,True,15150.0,1100.0,2025-01
2025-01-06,Kepulauan Riau,5,15150.0,True,15150.0,1100.0,2025-01
2025-01-06,Jambi,6,15050.0,True,15150.0,1100.0,2025-01
2025-01-06,Bengkulu,7,15150.0,True,15150.0,1100.0,2025-01
2025-01-06,Sumatera Selatan,8,14900.0,True,15150.0,1100.0,2025-01
2025-01-06,Kepulauan Bangka Belitung,9,15000.0,True,15150.0,1100.0,2025-01
2025-01-06,Lampung,10,14550.0,True,15150.0,1100.0,2025-01
2025-01-06,Banten,11,14800.0,True,15150.0,1100.0,2025-01
