bulan,provinsi,rata_rata_harga
2024-01,Aceh,13796.774193548386
2024-01,Bali,14525.806451612903
2024-01,Banten,14730.645161290322
2024-01,Bengkulu,14948.333333333334
2024-01,DI Yogyakarta,14062.90322580645
2024-01,DKI Jakarta,15450.0
2024-01,Gorontalo,14538.709677419354
2024-01,Jambi,14150.0
2024-01,Jawa Barat,14259.677419354839
2024-01,Jawa Tengah,14029.032258064517
2024-01,Jawa Timur,13879.032258064517
2024-01,Kalimantan Barat,15650.0
2024-01,Kalimantan Selatan,17741.935483870966
2024-01,Kalimantan Tengah,18800.0
2024-01,Kalimantan Timur,15166.129032258064
2024-01,Kalimantan Utara,16158.333333333334
2024-01,Kepulauan Bangka Belitung,14632.258064516129
2024-01,Kepulauan Riau,14300.0
2024-01,Lampung,13726.666666666666
2024-01,Maluku,15203.225806451614
2024-01,Maluku Utara,15750.0
2024-01,Nusa Tenggara Barat,13348.387096774193
2024-01,Nusa Tenggara Timur,15096.666666666666
2024-01,Papua,15356.666666666666
2024-01,Papua Barat,15572.58064516129
2024-01,Riau,15251.666666666666
2024-01,Sulawesi Barat,13604.838709677419
2024-01,Sulawesi Selatan,13027.41935483871
2024-01,Sulawesi Tengah,14168.333333333334
2024-01,Sulawesi Tenggara,14140.322580645161
2024-01,Sulawesi Utara,13658.064516129032
2024-01,Sumatera Barat,16358.064516129032
2024-01,Sumatera Selatan,14390.0
2024-01,Sumatera Utara,13520.967741935483
2024-02,Aceh,13837.5
2024-02,Bali,16158.92857142857
2024-02,Banten,16083.92857142857
2024-02,Bengkulu,15426.785714285714
2024-02,DI Yogyakarta,15148.214285714286
2024-02,DKI Jakarta,15980.0
2024-02,Gorontalo,15096.42857142857
2024-02,Jambi,14280.357142857143
2024-02,Jawa Barat,15442.857142857143
2024-02,Jawa Tengah,15083.92857142857
2024-02,Jawa Timur,15026.785714285714
2024-02,Kalimantan Barat,15821.42857142857
2024-02,Kalimantan Selatan,17985.714285714286
2024-02,Kalimantan Tengah,19055.35714285714
2024-02,Kalimantan Timur,15385.714285714286
2024-02,Kalimantan Utara,16570.37037037037
2024-02,Kepulauan Bangka Belitung,15794.642857142857
2024-02,Kepulauan Riau,14426.785714285714
2024-02,Lampung,14376.785714285714
2024-02,Maluku,15450.0
2024-02,Maluku Utara,16160.714285714286
2024-02,Nusa Tenggara Barat,14000.0
2024-02,Nusa Tenggara Timur,15389.285714285714
2024-02,Papua,15737.5
2024-02,Papua Barat,15733.92857142857
2024-02,Riau,15350.0
2024-02,Sulawesi Barat,14371.42857142857
2024-02,Sulawesi Selatan,13467.857142857143
2024-02,Sulawesi Tengah,14957.142857142857
2024-02,Sulawesi Tenggara,14653.57142857143
2024-02,Sulawesi Utara,14494.642857142857
2024-02,Sumatera Barat,16766.071428571428
2024-02,Sumatera Selatan,15126.785714285714
2024-02,Sumatera Utara,13741.07142857143
2024-03,Aceh,13816.129032258064
2024-03,Bali,16069.354838709678
2024-03,Banten,16264.516129032258
2024-03,Bengkulu,15916.07142857143
2024-03,DI Yogyakarta,15287.09677419355
2024-03,DKI Jakarta,16150.0
2024-03,Gorontalo,17611.290322580644
2024-03,Jambi,14767.741935483871
2024-03,Jawa Barat,15753.225806451614
2024-03,Jawa Tengah,15401.612903225807
2024-03,Jawa Timur,15216.129032258064
2024-03,Kalimantan Barat,16362.90322580645
2024-03,Kalimantan Selatan,18614.516129032258
2024-03,Kalimantan Tengah,19524.1935483871
2024-03,Kalimantan Timur,16309.677419354839
2024-03,Kalimantan Utara,16880.645161290322
2024-03,Kepulauan Bangka Belitung,16380.645161290322
2024-03,Kepulauan Riau,14580.645161290322
2024-03,Lampung,14708.92857142857
2024-03,Maluku,15757.142857142857
2024-03,Maluku Utara,16824.1935483871
2024-03,Nusa Tenggara Barat,14458.064516129032
2024-03,Nusa Tenggara Timur,16075.806451612903
2024-03,Papua,17329.032258064515
2024-03,Papua Barat,16224.193548387097
2024-03,Riau,15456.451612903225
2024-03,Sulawesi Barat,15093.548387096775
2024-03,Sulawesi Selatan,14145.161290322581
2024-03,Sulawesi Tengah,16551.612903225807
2024-03,Sulawesi Tenggara,16191.935483870968
2024-03,Sulawesi Utara,15912.90322580645
2024-03,Sumatera Barat,17338.709677419356
2024-03,Sumatera Selatan,15380.645161290322
2024-03,Sumatera Utara,13800.0
2024-04,Aceh,13801.923076923076
2024-04,Bali,15376.923076923076
2024-04,Banten,15509.615384615385
2024-04,Bengkulu,15680.76923076923
2024-04,DI Yogyakarta,15150.0
2024-04,DKI Jakarta,15725.0
2024-04,Gorontalo,15875.0
2024-04,Jambi,14707.692307692309
2024-04,Jawa Barat,15234.615384615385
2024-04,Jawa Tengah,14936.538461538461
2024-04,Jawa Timur,14711.538461538461
2024-04,Kalimantan Barat,16500.0
2024-04,Kalimantan Selatan,18592.30769230769
2024-04,Kalimantan Tengah,19567.30769230769
2024-04,Kalimantan Timur,16448.076923076922
2024-04,Kalimantan Utara,17046.153846153848
2024-04,Kepulauan Bangka Belitung,16182.692307692309
2024-04,Kepulauan Riau,14615.384615384615
2024-04,Lampung,14555.76923076923
2024-04,Maluku,15936.0
2024-04,Maluku Utara,16850.0
2024-04,Nusa Tenggara Barat,13400.0
2024-04,Nusa Tenggara Timur,16128.846153846154
2024-04,Papua,16996.153846153848
2024-04,Papua Barat,16517.30769230769
2024-04,Riau,15507.692307692309
2024-04,Sulawesi Barat,14167.307692307691
2024-04,Sulawesi Selatan,13832.692307692309
2024-04,Sulawesi Tengah,16063.461538461539
2024-04,Sulawesi Tenggara,15738.461538461539
2024-04,Sulawesi Utara,15488.461538461539
2024-04,Sumatera Barat,17500.0
