tanggal,provinsi,id_provinsi,harga,show,avg_api,stddev_api
"Jan 9, 2025",Sumatera Selatan,8,14950.0,True,15150.0,2800.0
"Jan 9, 2025",Kepulauan Bangka Belitung,9,15000.0,True,15150.0,2800.0
"Jan 9, 2025",Lampung,10,14550.0,True,15150.0,2800.0
"Jan 9, 2025",Banten,11,14800.0,True,15150.0,2800.0
"Jan 9, 2025",Jawa Barat,12,14650.0,True,15150.0,2800.0
"Jan 9, 2025",DKI Jakarta,13,15700.0,True,15150.0,2800.0
"Jan 9, 2025",Jawa Tengah,14,14550.0,True,15150.0,2800.0
"Jan 9, 2025",DI Yogyakarta,15,14150.0,True,15150.0,2800.0
"Jan 9, 2025",Jawa Timur,16,14100.0,True,15150.0,2800.0
"Jan 9, 2025",Bali,17,15150.0,True,15150.0,2800.0
"Jan 9, 2025",Nusa Tenggara Barat,18,13800.0,True,15150.0,2800.0
"Jan 9, 2025",Nusa Tenggara Timur,19,15450.0,True,15150.0,2800.0
"Jan 9, 2025",Kalimantan Barat,20,16500.0,True,15150.0,2800.0
"Jan 9, 2025",Kalimantan Selatan,21,17350.0,True,15150.0,2800.0
"Jan 9, 2025",Kalimantan Tengah,22,17600.0,True,15150.0,2800.0
"Jan 9, 2025",Kalimantan Timur,23,15950.0,True,15150.0,2800.0
"Jan 9, 2025",Kalimantan Utara,24,0.0,False,15150.0,2800.0
"Jan 9, 2025",Gorontalo,25,14550.0,True,15150.0,2800.0
"Jan 9, 2025",Sulawesi Selatan,26,13400.0,True,15150.0,2800.0
"Jan 9, 2025",Sulawesi Tenggara,27,14800.0,True,15150.0,2800.0
"Jan 9, 2025",Sulawesi Tengah,28,14250.0,True,15150.0,2800.0
"Jan 9, 2025",Sulawesi Utara,29,14050.0,True,15150.0,2800.0
"Jan 9, 2025",Sulawesi Barat,30,13250.0,True,15150.0,2800.0
"Jan 9, 2025",Maluku,31,16100.0,True,15150.0,2800.0
"Jan 9, 2025",Maluku Utara,32,16700.0,True,15150.0,2800.0
"Jan 9, 2025",Papua,33,16750.0,True,15150.0,2800.0
"Jan 9, 2025",Papua Barat,34,16400.0,True,15150.0,2800.0
"Jan 10, 2025",Aceh,1,13750.0,True,15200.0,1150.0
"Jan 10, 2025",Sumatera Utara,2,13750.0,True,15200.0,1150.0
"Jan 10, 2025",Sumatera Barat,3,17250.0,True,15200.0,1150.0
"Jan 10, 2025",Riau,4,15900.0,True,15200.0,1150.0
"Jan 10, 2025",Kepulauan Riau,5,15250.0,True,15200.0,1150.0
"Jan 10, 2025",Jambi,6,15050.0,True,15200.0,1150.0
"Jan 10, 2025",Bengkulu,7,15150.0,True,15200.0,1150.0
"Jan 10, 2025",Sumatera Selatan,8,14950.0,True,15200.0,1150.0
"Jan 10, 2025",Kepulauan Bangka Belitung,9,15000.0,True,15200.0,1150.0
"Jan 10, 2025",Lampung,10,14550.0,True,15200.0,1150.0
"Jan 10, 2025",Banten,11,14800.0,True,15200.0,1150.0
"Jan 10, 2025",Jawa Barat,12,14650.0,True,15200.0,1150.0
"Jan 10, 2025",DKI Jakarta,13,15700.0,True,15200.0,1150.0
"Jan 10, 2025",Jawa Tengah,14,14550.0,True,15200.0,1150.0
"Jan 10, 2025",DI Yogyakarta,15,14150.0,True,15200.0,1150.0
"Jan 10, 2025",Jawa Timur,16,14050.0,True,15200.0,1150.0
"Jan 10, 2025",Bali,17,15150.0,True,15200.0,1150.0
"Jan 10, 2025",Nusa Tenggara Barat,18,13850.0,True,15200.0,1150.0
"Jan 10, 2025",Nusa Tenggara Timur,19,15450.0,True,15200.0,1150.0
"Jan 10, 2025",Kalimantan Barat,20,16500.0,True,15200.0,1150.0
"Jan 10, 2025",Kalimantan Selatan,21,17350.0,True,15200.0,1150.0
"Jan 10, 2025",Kalimantan Tengah,22,17600.0,True,15200.0,1150.0
"Jan 10, 2025",Kalimantan Timur,23,15950.0,True,15200.0,1150.0
"Jan 10, 2025",Kalimantan Utara,24,16600.0,True,15200.0,1150.0
"Jan 10, 2025",Gorontalo,25,14550.0,True,15200.0,1150.0
"Jan 10, 2025",Sulawesi Selatan,26,13400.0,True,15200.0,1150.0
"Jan 10, 2025",Sulawesi Tenggara,27,14800.0,True,15200.0,1150.0
"Jan 10, 2025",Sulawesi Tengah,28,14350.0,True,15200.0,1150.0
"Jan 10, 2025",Sulawesi Utara,29,14050.0,True,15200.0,1150.0
