bulan,provinsi,rata_rata_harga
2025-05,Kepulauan Bangka Belitung,15064.285714285714
2025-05,Kepulauan Riau,15089.285714285714
2025-05,Lampung,14487.5
2025-05,Maluku,16346.42857142857
2025-05,Maluku Utara,16700.0
2025-05,Nusa Tenggara Barat,13842.857142857143
2025-05,Nusa Tenggara Timur,15283.92857142857
2025-05,Papua,18351.785714285714
2025-05,Papua Barat,16701.785714285714
2025-05,Riau,16071.42857142857
2025-05,Sulawesi Barat,13592.857142857143
2025-05,Sulawesi Selatan,13560.714285714286
2025-05,Sulawesi Tengah,14525.0
2025-05,Sulawesi Tenggara,15271.42857142857
2025-05,Sulawesi Utara,14812.5
2025-05,Sumatera Barat,16978.571428571428
2025-05,Sumatera Selatan,15044.642857142857
2025-05,Sumatera Utara,14128.57142857143
2025-06,Aceh,14215.0
2025-06,Bali,15500.0
2025-06,Banten,14785.0
2025-06,Bengkulu,15421.666666666666
2025-06,DI Yogyakarta,14325.0
2025-06,DKI Jakarta,15941.666666666666
2025-06,Gorontalo,15405.0
2025-06,Jambi,15308.333333333334
2025-06,Jawa Barat,14685.0
2025-06,Jawa Tengah,14881.666666666666
2025-06,Jawa Timur,14516.666666666666
2025-06,Kalimantan Barat,16368.333333333334
2025-06,Kalimantan Selatan,17175.0
2025-06,Kalimantan Tengah,17500.0
2025-06,Kalimantan Timur,16178.333333333334
2025-06,Kalimantan Utara,16645.0
2025-06,Kepulauan Bangka Belitung,15250.0
2025-06,Kepulauan Riau,15103.333333333334
2025-06,Lampung,14570.0
2025-06,Maluku,16776.666666666668
2025-06,Maluku Utara,16700.0
2025-06,Nusa Tenggara Barat,13866.666666666666
2025-06,Nusa Tenggara Timur,15276.666666666666
2025-06,Papua,18475.0
2025-06,Papua Barat,16775.0
2025-06,Riau,16278.333333333334
2025-06,Sulawesi Barat,14020.0
2025-06,Sulawesi Selatan,13658.333333333334
2025-06,Sulawesi Tengah,15021.666666666666
2025-06,Sulawesi Tenggara,15716.666666666666
2025-06,Sulawesi Utara,15435.0
2025-06,Sumatera Barat,16880.0
2025-06,Sumatera Selatan,15196.666666666666
2025-06,Sumatera Utara,14303.333333333334
2025-07,Aceh,14874.193548387097
2025-07,Bali,15600.0
2025-07,Banten,15590.322580645161
2025-07,Bengkulu,15574.193548387097
2025-07,DI Yogyakarta,14450.0
2025-07,DKI Jakarta,16158.064516129032
2025-07,Gorontalo,16301.612903225807
2025-07,Jambi,15400.0
2025-07,Jawa Barat,14790.322580645161
2025-07,Jawa Tengah,14953.225806451614
2025-07,Jawa Timur,14630.645161290322
2025-07,Kalimantan Barat,16400.0
2025-07,Kalimantan Selatan,17295.16129032258
2025-07,Kalimantan Tengah,17514.516129032258
2025-07,Kalimantan Timur,16424.1935483871
2025-07,Kalimantan Utara,16962.90322580645
2025-07,Kepulauan Bangka Belitung,15333.870967741936
2025-07,Kepulauan Riau,15158.064516129032
2025-07,Lampung,14727.41935483871
2025-07,Maluku,17027.41935483871
2025-07,Maluku Utara,16700.0
2025-07,Nusa Tenggara Barat,13993.548387096775
2025-07,Nusa Tenggara Timur,15288.709677419354
2025-07,Papua,18519.354838709678
2025-07,Papua Barat,16929.032258064515
2025-07,Riau,16301.612903225807
2025-07,Sulawesi Barat,15008.064516129032
2025-07,Sulawesi Selatan,14119.354838709678
2025-07,Sulawesi Tengah,16217.741935483871
2025-07,Sulawesi Tenggara,16385.483870967742
2025-07,Sulawesi Utara,16427.41935483871
2025-07,Sumatera Barat,16890.322580645163
2025-07,Sumatera Selatan,15272.58064516129
2025-07,Sumatera Utara,14688.709677419354
2025-08,Aceh,15479.032258064517
2025-08,Bali,15590.322580645161
2025-08,Banten,15583.870967741936
2025-08,Bengkulu,15643.548387096775
2025-08,DI Yogyakarta,14450.0
2025-08,DKI Jakarta,16230.645161290322
2025-08,Gorontalo,16906.451612903227
2025-08,Jambi,15400.0
2025-08,Jawa Barat,14833.870967741936
2025-08,Jawa Tengah,15011.290322580646
2025-08,Jawa Timur,14766.129032258064
2025-08,Kalimantan Barat,16400.0
2025-08,Kalimantan Selatan,17400.0
2025-08,Kalimantan Tengah,17470.967741935485
2025-08,Kalimantan Timur,16443.548387096773
2025-08,Kalimantan Utara,17161.290322580644
2025-08,Kepulauan Bangka Belitung,15348.387096774193
2025-08,Kepulauan Riau,15182.258064516129
2025-08,Lampung,14782.258064516129
2025-08,Maluku,16869.354838709678
2025-08,Maluku Utara,16753.225806451614
2025-08,Nusa Tenggara Barat,13930.645161290322
2025-08,Nusa Tenggara Timur,15380.645161290322
2025-08,Papua,18854.83870967742
2025-08,Papua Barat,16951.612903225807
2025-08,Riau,16300.0
2025-08,Sulawesi Barat,15059.677419354839
2025-08,Sulawesi Selatan,14443.548387096775
2025-08,Sulawesi Tengah,16762.90322580645
2025-08,Sulawesi Tenggara,16525.8064516129
2025-08,Sulawesi Utara,16596.774193548386
2025-08,Sumatera Barat,17127.41935483871
2025-08,Sumatera Selatan,15485.483870967742
2025-08,Sumatera Utara,14975.806451612903
2025-09,Aceh,14945.0
2025-09,Bali,15500.0
2025-09,Banten,15500.0
2025-09,Bengkulu,15568.333333333334
2025-09,DI Yogyakarta,14258.333333333334
2025-09,DKI Jakarta,16315.0
2025-09,Gorontalo,16798.333333333332
2025-09,Jambi,15400.0
2025-09,Jawa Barat,14876.666666666666
2025-09,Jawa Tengah,15100.0
2025-09,Jawa Timur,14786.666666666666
2025-09,Kalimantan Barat,16400.0
2025-09,Kalimantan Selatan,17440.0
2025-09,Kalimantan Tengah,17425.0
2025-09,Kalimantan Timur,16586.666666666668
2025-09,Kalimantan Utara,17465.0
2025-09,Kepulauan Bangka Belitung,15338.333333333334
2025-09,Kepulauan Riau,15156.666666666666
2025-09,Lampung,14805.0
2025-09,Maluku,16865.0
2025-09,Maluku Utara,16763.333333333332
2025-09,Nusa Tenggara Barat,13936.666666666666
2025-09,Nusa Tenggara Timur,15433.333333333334
2025-09,Papua,18950.0
2025-09,Papua Barat,16903.333333333332
2025-09,Riau,16300.0
2025-09,Sulawesi Barat,14826.666666666666
2025-09,Sulawesi Selatan,14346.666666666666
2025-09,Sulawesi Tengah,16636.666666666668
2025-09,Sulawesi Tenggara,16438.333333333332
2025-09,Sulawesi Utara,16555.0
2025-09,Sumatera Barat,17136.666666666668
2025-09,Sumatera Selatan,15515.0
2025-09,Sumatera Utara,14725.0
2025-10,Aceh,14731.481481481482
2025-10,Bali,15498.148148148148
2025-10,Banten,15472.222222222223
2025-10,Bengkulu,15568.518518518518
2025-10,DI Yogyakarta,14200.0
2025-10,DKI Jakarta,16309.25925925926
2025-10,Gorontalo,16448.14814814815
2025-10,Jambi,15400.0
2025-10,Jawa Barat,14885.185185185184
2025-10,Jawa Tengah,15090.74074074074
2025-10,Jawa Timur,14779.62962962963
2025-10,Kalimantan Barat,16400.0
2025-10,Kalimantan Selatan,17450.0
2025-10,Kalimantan Tengah,17542.59259259259
2025-10,Kalimantan Timur,16487.037037037036
2025-10,Kalimantan Utara,17283.333333333332
2025-10,Kepulauan Bangka Belitung,15309.25925925926
2025-10,Kepulauan Riau,15068.518518518518
2025-10,Lampung,14827.777777777777
2025-10,Maluku,16937.037037037036
2025-10,Maluku Utara,16875.925925925927
2025-10,Nusa Tenggara Barat,13920.37037037037
2025-10,Nusa Tenggara Timur,15424.074074074075
2025-10,Papua,18914.814814814814
2025-10,Papua Barat,16935.185185185186
2025-10,Riau,16300.0
2025-10,Sulawesi Barat,14587.037037037036
2025-10,Sulawesi Selatan,14246.296296296296
2025-10,Sulawesi Tengah,15905.555555555555
2025-10,Sulawesi Tenggara,15918.518518518518
2025-10,Sulawesi Utara,16283.333333333334
2025-10,Sumatera Barat,17040.74074074074
2025-10,Sumatera Selatan,15500.0
2025-10,Sumatera Utara,14585.185185185184
2025-11,Aceh,14515.0
2025-11,Bali,15401.666666666666
2025-11,Banten,15003.333333333334
2025-11,Bengkulu,15478.333333333334
2025-11,DI Yogyakarta,14200.0
2025-11,DKI Jakarta,16300.0
2025-11,Gorontalo,15945.0
2025-11,Jambi,15400.0
2025-11,Jawa Barat,14820.0
2025-11,Jawa Tengah,15045.0
2025-11,Jawa Timur,14635.0
2025-11,Kalimantan Barat,16498.333333333332
2025-11,Kalimantan Selatan,17466.666666666668
2025-11,Kalimantan Tengah,17583.333333333332
2025-11,Kalimantan Timur,16308.333333333334
2025-11,Kalimantan Utara,17260.0
2025-11,Kepulauan Bangka Belitung,15300.0
2025-11,Kepulauan Riau,14955.0
2025-11,Lampung,14741.666666666666
2025-11,Maluku,16786.666666666668
2025-11,Maluku Utara,17236.666666666668
2025-11,Nusa Tenggara Barat,13900.0
2025-11,Nusa Tenggara Timur,15350.0
2025-11,Papua,18936.666666666668
2025-11,Papua Barat,16891.666666666668
2025-11,Riau,16295.0
2025-11,Sulawesi Barat,14371.666666666666
2025-11,Sulawesi Selatan,14148.333333333334
2025-11,Sulawesi Tengah,15543.333333333334
2025-11,Sulawesi Tenggara,15623.333333333334
2025-11,Sulawesi Utara,15668.333333333334
2025-11,Sumatera Barat,17065.0
2025-11,Sumatera Selatan,15493.333333333334
2025-11,Sumatera Utara,14545.0
2025-12,Aceh,14851.724137931034
2025-12,Bali,15389.655172413793
2025-12,Banten,14950.0
2025-12,Bengkulu,15506.896551724138
2025-12,DI Yogyakarta,14200.0
2025-12,DKI Jakarta,16300.0
2025-12,Gorontalo,15568.965517241379
2025-12,Jambi,15400.0
2025-12,Jawa Barat,14800.0
2025-12,Jawa Tengah,15043.103448275862
2025-12,Jawa Timur,14584.48275862069
2025-12,Kalimantan Barat,16567.241379310344
2025-12,Kalimantan Selatan,17550.0
2025-12,Kalimantan Tengah,17751.724137931036
2025-12,Kalimantan Timur,16246.551724137931
2025-12,Kalimantan Utara,17263.793103448275
2025-12,Kepulauan Bangka Belitung,15300.0
2025-12,Kepulauan Riau,15093.103448275862
2025-12,Lampung,14634.48275862069
2025-12,Maluku,16677.58620689655
2025-12,Maluku Utara,17400.0
2025-12,Nusa Tenggara Barat,13850.0
2025-12,Nusa Tenggara Timur,15305.172413793103
2025-12,Papua,18782.758620689656
2025-12,Papua Barat,16850.0
2025-12,Riau,16324.137931034482
2025-12,Sulawesi Barat,14331.034482758621
2025-12,Sulawesi Selatan,14100.0
2025-12,Sulawesi Tengah,15396.551724137931
2025-12,Sulawesi Tenggara,15524.137931034482
2025-12,Sulawesi Utara,14910.344827586207
2025-12,Sumatera Barat,17963.793103448275
2025-12,Sumatera Selatan,15498.275862068966
2025-12,Sumatera Utara,14993.103448275862
